省份,日期,新增确诊人数,新增治愈人数,新增死亡人数,累计确诊人数,累计治愈人数,累计死亡人数
云南,2020-01-23,1,0,0,50,48,0
云南,2020-01-24,3,0,0,224,218,1
云南,2020-01-25,6,0,0,696,683,2
云南,2020-01-26,8,0,0,865,844,2
云南,2020-01-27,25,0,0,890,844,2
云南,2020-01-28,7,0,0,1023,970,2
云南,2020-01-29,19,0,0,1042,970,2
云南,2020-01-30,10,0,0,1052,970,2
云南,2020-01-31,11,1,0,1063,971,2
云南,2020-02-01,8,1,0,1071,972,2
云南,2020-02-02,10,1,0,1224,1116,2
云南,2020-02-03,8,2,0,1278,1164,2
云南,2020-02-04,5,0,0,1283,1164,2
云南,2020-02-05,6,0,0,1289,1164,2
云南,2020-02-06,7,2,0,1296,1166,2
云南,2020-02-07,3,5,0,1299,1171,2
云南,2020-02-08,2,5,0,1301,1176,2
云南,2020-02-09,1,1,0,1302,1177,2
云南,2020-02-10,8,1,0,1310,1178,2
云南,2020-02-11,5,1,0,1315,1179,2
云南,2020-02-12,1,3,0,1316,1182,2
云南,2020-02-13,7,4,0,1323,1186,2
云南,2020-02-14,6,8,0,1329,1194,2
云南,2020-02-15,1,7,0,1330,1201,2
云南,2020-02-16,2,0,0,1332,1201,2
云南,2020-02-17,1,5,0,1333,1206,2
云南,2020-02-18,0,10,0,1333,1216,2
云南,2020-02-19,0,3,1,1333,1219,3
云南,2020-02-20,2,19,1,1335,1238,4
云南,2020-02-21,0,17,0,1335,1255,4
云南,2020-02-22,0,11,0,1335,1266,4
云南,2020-02-23,0,8,0,1335,1274,4
云南,2020-02-24,0,9,0,1335,1283,4
云南,2020-02-25,0,5,0,1335,1288,4
云南,2020-02-26,0,15,0,1335,1303,4
云南,2020-02-27,0,6,0,1335,1309,4
云南,2020-02-28,0,6,0,1335,1315,4
云南,2020-02-29,0,1,0,1335,1316,4
云南,2020-03-01,0,6,0,1335,1322,4
云南,2020-03-02,0,5,0,1335,1327,4
云南,2020-03-03,0,1,0,1335,1328,4
云南,2020-03-04,0,0,0,1335,1328,4
云南,2020-03-05,0,0,0,1335,1328,4
云南,2020-03-06,0,1,0,1335,1329,4
云南,2020-03-07,0,0,0,1335,1329,4
云南,2020-03-08,0,0,0,1335,1329,4
云南,2020-03-09,0,0,0,1335,1329,4
云南,2020-03-10,0,0,0,1335,1329,4
云南,2020-03-11,0,0,0,1335,1329,4
云南,2020-03-12,0,0,0,1335,1329,4
云南,2020-03-13,0,0,0,1335,1329,4
云南,2020-03-14,0,2,0,1335,1331,4
云南,2020-03-15,1,0,0,1344,1339,4
云南,2020-03-16,1,0,0,1345,1339,4
云南,2020-03-17,0,0,0,1345,1339,4
云南,2020-03-18,0,0,0,1345,1339,4
云南,2020-03-19,0,0,0,1345,1339,4
云南,2020-03-20,0,0,0,1345,1339,4
云南,2020-03-21,0,0,0,1345,1339,4
云南,2020-03-22,0,0,0,1345,1339,4
云南,2020-03-23,0,0,0,1345,1339,4
云南,2020-03-24,0,0,0,1345,1339,4
云南,2020-03-25,2,0,0,1347,1339,4
云南,2020-03-26,2,0,0,1349,1339,4
云南,2020-03-27,0,0,0,1349,1339,4
云南,2020-03-28,0,0,0,1349,1339,4
云南,2020-03-29,0,0,0,1349,1339,4
云南,2020-03-30,1,0,0,1350,1339,4
云南,2020-03-31,1,0,0,1351,1339,4
云南,2020-04-01,1,0,0,1352,1339,4
云南,2020-04-02,1,0,0,1353,1339,4
云南,2020-04-03,0,0,0,1353,1339,4
云南,2020-04-04,0,0,0,1353,1339,4
云南,2020-04-05,0,0,0,1353,1339,4
云南,2020-04-06,0,1,0,1353,1340,4
云南,2020-04-07,0,0,0,1353,1340,4
云南,2020-04-08,0,0,0,1353,1340,4
云南,2020-04-09,0,0,0,1353,1340,4
云南,2020-04-10,0,1,0,1353,1341,4
云南,2020-04-11,0,0,0,1353,1341,4
云南,2020-04-12,0,0,0,1353,1341,4
云南,2020-04-13,0,1,0,1353,1342,4
云南,2020-04-14,0,1,0,1353,1343,4
云南,2020-04-15,0,0,0,1353,1343,4
云南,2020-04-16,0,1,0,1353,1344,4
云南,2020-04-17,0,0,0,1353,1344,4
云南,2020-04-18,0,1,0,1353,1345,4
云南,2020-04-19,0,0,0,1353,1345,4
云南,2020-04-20,0,0,0,1353,1345,4
云南,2020-04-21,0,0,0,1353,1345,4
云南,2020-04-22,0,0,0,1353,1345,4
云南,2020-04-23,0,2,0,1353,1347,4
云南,2020-04-24,1,0,0,1354,1347,4
云南,2020-04-25,0,1,0,1354,1348,4
云南,2020-04-26,0,0,0,1354,1348,4
云南,2020-04-27,0,0,0,1354,1348,4
云南,2020-04-28,0,0,0,1354,1348,4
云南,2020-04-29,0,0,0,1354,1348,4
云南,2020-04-30,0,0,0,1354,1348,4
云南,2020-05-01,0,0,0,1354,1348,4
云南,2020-05-02,0,0,0,1354,1348,4
云南,2020-05-03,0,0,0,1354,1348,4
云南,2020-05-04,0,0,0,1354,1348,4
云南,2020-05-05,0,0,0,1354,1348,4
云南,2020-05-06,0,0,0,1354,1348,4
云南,2020-05-07,0,1,0,1354,1349,4
云南,2020-05-08,0,0,0,1354,1349,4
云南,2020-05-09,0,1,0,1354,1350,4
云南,2020-05-10,0,0,0,1354,1350,4
云南,2020-05-11,0,0,0,1354,1350,4
云南,2020-05-12,0,0,0,1354,1350,4
云南,2020-05-13,0,0,0,1354,1350,4
云南,2020-05-14,0,0,0,1354,1350,4
云南,2020-05-15,0,0,0,1354,1350,4
云南,2020-05-16,0,0,0,1354,1350,4
云南,2020-05-17,0,0,0,1354,1350,4
云南,2020-05-18,0,0,0,1354,1350,4
云南,2020-05-19,0,0,0,1354,1350,4
云南,2020-05-20,0,0,0,1354,1350,4
云南,2020-05-21,0,0,0,1354,1350,4
云南,2020-05-22,0,0,0,1354,1350,4
云南,2020-05-23,0,0,0,1354,1350,4
云南,2020-05-24,0,0,0,1354,1350,4
云南,2020-05-25,0,0,0,1354,1350,4
云南,2020-05-26,0,0,0,1354,1350,4
云南,2020-05-27,0,0,0,1354,1350,4
云南,2020-05-28,0,0,0,1354,1350,4
云南,2020-05-29,0,0,0,1354,1350,4
云南,2020-05-30,0,0,0,1354,1350,4
云南,2020-05-31,0,0,0,1354,1350,4
云南,2020-06-01,0,0,0,1354,1350,4
云南,2020-06-02,0,0,0,1354,1350,4
云南,2020-06-03,0,0,0,1354,1350,4
云南,2020-06-04,0,0,0,1354,1350,4
云南,2020-06-05,0,0,0,1354,1350,4
云南,2020-06-06,0,0,0,1354,1350,4
云南,2020-06-07,0,0,0,1354,1350,4
云南,2020-06-08,0,0,0,1354,1350,4
云南,2020-06-09,0,0,0,1354,1350,4
云南,2020-06-10,0,0,0,1354,1350,4
云南,2020-06-11,0,0,0,1354,1350,4
云南,2020-06-12,0,0,0,1354,1350,4
云南,2020-06-13,0,0,0,1354,1350,4
云南,2020-06-14,0,0,0,1354,1350,4
云南,2020-06-15,0,0,0,1354,1350,4
云南,2020-06-16,0,0,0,1354,1350,4
云南,2020-06-17,0,0,0,1354,1350,4
云南,2020-06-18,0,0,0,1354,1350,4
云南,2020-06-19,0,0,0,1354,1350,4
云南,2020-06-20,0,0,0,1354,1350,4
云南,2020-06-21,0,0,0,1354,1350,4
云南,2020-06-22,0,0,0,1354,1350,4
云南,2020-06-23,0,0,0,1354,1350,4
云南,2020-06-24,0,0,0,1354,1350,4
云南,2020-06-25,0,0,0,1354,1350,4
云南,2020-06-26,0,0,0,1354,1350,4
云南,2020-06-27,0,0,0,1354,1350,4
云南,2020-06-28,0,0,0,1354,1350,4
云南,2020-06-29,0,0,0,1354,1350,4
云南,2020-06-30,0,0,0,1354,1350,4
内蒙古,2020-01-23,1,0,0,179,178,0
内蒙古,2020-01-24,1,0,0,409,406,1
内蒙古,2020-01-25,5,0,0,834,824,3
内蒙古,2020-01-26,4,0,0,1221,1206,4
内蒙古,2020-01-27,2,0,0,1223,1206,4
内蒙古,2020-01-28,3,0,0,1607,1587,4
内蒙古,2020-01-29,2,0,0,1609,1587,4
内蒙古,2020-01-30,2,0,0,1611,1587,4
内蒙古,2020-01-31,3,1,0,1614,1588,4
内蒙古,2020-02-01,4,0,0,1621,1591,4
内蒙古,2020-02-02,7,0,0,1628,1591,4
内蒙古,2020-02-03,1,0,0,1629,1591,4
内蒙古,2020-02-04,7,0,0,1636,1591,4
内蒙古,2020-02-05,4,3,0,1640,1594,4
内蒙古,2020-02-06,4,0,0,1644,1594,4
内蒙古,2020-02-07,2,1,0,1646,1595,4
内蒙古,2020-02-08,2,0,0,1648,1595,4
内蒙古,2020-02-09,4,0,0,1652,1595,4
内蒙古,2020-02-10,0,0,0,1652,1595,4
内蒙古,2020-02-11,2,0,0,1654,1595,4
内蒙古,2020-02-12,1,1,0,1655,1596,4
内蒙古,2020-02-13,4,0,0,1659,1596,4
内蒙古,2020-02-14,3,0,0,1662,1596,4
内蒙古,2020-02-15,2,1,0,1664,1597,4
内蒙古,2020-02-16,2,1,0,1666,1598,4
内蒙古,2020-02-17,1,0,0,1667,1598,4
内蒙古,2020-02-18,2,1,0,1669,1599,4
内蒙古,2020-02-19,0,2,0,1669,1601,4
内蒙古,2020-02-20,0,5,0,1669,1606,4
内蒙古,2020-02-21,0,6,0,1669,1612,4
内蒙古,2020-02-22,0,4,0,1669,1616,4
内蒙古,2020-02-23,0,4,0,1669,1620,4
内蒙古,2020-02-24,0,4,0,1669,1624,4
内蒙古,2020-02-25,0,1,0,1669,1625,4
内蒙古,2020-02-26,0,3,0,1669,1628,4
内蒙古,2020-02-27,0,5,0,1669,1633,4
内蒙古,2020-02-28,0,3,0,1669,1636,4
内蒙古,2020-02-29,0,5,0,1669,1641,4
内蒙古,2020-03-01,0,0,0,1669,1641,4
内蒙古,2020-03-02,0,3,1,1669,1644,5
内蒙古,2020-03-03,0,5,0,1669,1649,5
内蒙古,2020-03-04,0,4,0,1669,1653,5
内蒙古,2020-03-05,0,2,0,1669,1655,5
内蒙古,2020-03-06,0,0,0,1669,1655,5
内蒙古,2020-03-07,0,3,0,1669,1658,5
内蒙古,2020-03-08,0,2,0,1669,1660,5
内蒙古,2020-03-09,0,0,0,1669,1660,5
内蒙古,2020-03-10,0,0,0,1669,1660,5
内蒙古,2020-03-11,0,1,0,1669,1661,5
内蒙古,2020-03-12,0,0,0,1669,1661,5
内蒙古,2020-03-13,0,0,0,1669,1661,5
内蒙古,2020-03-14,0,0,0,1669,1661,5
内蒙古,2020-03-15,0,0,0,1669,1661,5
内蒙古,2020-03-16,0,2,0,1669,1663,5
内蒙古,2020-03-17,0,0,0,1669,1663,5
内蒙古,2020-03-18,0,1,0,1669,1664,5
内蒙古,2020-03-19,0,0,0,1669,1664,5
内蒙古,2020-03-20,0,0,0,1669,1664,5
内蒙古,2020-03-21,0,0,0,1669,1664,5
内蒙古,2020-03-22,0,0,0,1669,1664,5
内蒙古,2020-03-23,0,0,0,1669,1664,5
内蒙古,2020-03-24,2,0,0,1677,1670,5
内蒙古,2020-03-25,12,0,0,1689,1670,5
内蒙古,2020-03-26,3,0,0,1692,1670,5
内蒙古,2020-03-27,2,0,0,1694,1670,5
内蒙古,2020-03-28,1,0,0,1695,1670,5
内蒙古,2020-03-29,2,0,0,1697,1670,5
内蒙古,2020-03-30,10,0,0,1707,1670,5
内蒙古,2020-03-31,4,0,0,1711,1670,5
内蒙古,2020-04-01,6,0,0,1717,1670,5
内蒙古,2020-04-02,0,0,0,1717,1670,5
内蒙古,2020-04-03,0,0,0,1717,1670,5
内蒙古,2020-04-04,0,0,0,1717,1670,5
内蒙古,2020-04-05,1,0,0,1718,1670,5
内蒙古,2020-04-06,3,0,0,1721,1670,5
内蒙古,2020-04-07,3,0,0,1724,1670,5
内蒙古,2020-04-08,2,5,0,1726,1675,5
内蒙古,2020-04-09,2,0,0,1728,1675,5
内蒙古,2020-04-10,27,0,0,1755,1675,5
内蒙古,2020-04-11,0,4,0,1755,1679,5
内蒙古,2020-04-12,35,0,0,1790,1679,5
内蒙古,2020-04-13,0,8,0,1790,1687,5
内蒙古,2020-04-14,0,3,0,1790,1690,5
内蒙古,2020-04-15,3,0,0,1793,1690,5
内蒙古,2020-04-16,0,9,0,1793,1699,5
内蒙古,2020-04-17,0,1,0,1793,1700,5
内蒙古,2020-04-18,0,0,0,1793,1700,5
内蒙古,2020-04-19,1,0,0,1794,1700,5
内蒙古,2020-04-20,0,4,0,1794,1704,5
内蒙古,2020-04-21,0,0,0,1794,1704,5
内蒙古,2020-04-22,0,0,0,1794,1704,5
内蒙古,2020-04-23,0,0,0,1794,1704,5
内蒙古,2020-04-24,3,6,0,1797,1710,5
内蒙古,2020-04-25,1,7,0,1798,1717,5
内蒙古,2020-04-26,0,8,0,1798,1725,5
内蒙古,2020-04-27,1,16,0,1799,1741,5
内蒙古,2020-04-28,0,1,0,1799,1742,5
内蒙古,2020-04-29,1,4,0,1800,1746,5
内蒙古,2020-04-30,1,2,0,1801,1748,5
内蒙古,2020-05-01,0,2,0,1801,1750,5
内蒙古,2020-05-02,0,0,0,1801,1750,5
内蒙古,2020-05-03,0,2,0,1801,1752,5
内蒙古,2020-05-04,0,4,0,1801,1756,5
内蒙古,2020-05-05,0,7,0,1801,1763,5
内蒙古,2020-05-06,0,4,0,1801,1767,5
内蒙古,2020-05-07,0,1,0,1801,1768,5
内蒙古,2020-05-08,0,3,0,1801,1771,5
内蒙古,2020-05-09,0,9,0,1801,1780,5
内蒙古,2020-05-10,7,3,0,1808,1783,5
内蒙古,2020-05-11,1,1,0,1809,1784,5
内蒙古,2020-05-12,0,2,0,1809,1786,5
内蒙古,2020-05-13,0,0,0,1809,1786,5
内蒙古,2020-05-14,0,4,0,1809,1790,5
内蒙古,2020-05-15,0,2,0,1809,1792,5
内蒙古,2020-05-16,0,0,0,1809,1792,5
内蒙古,2020-05-17,4,0,0,1813,1792,5
内蒙古,2020-05-18,3,0,0,1816,1792,5
内蒙古,2020-05-19,1,0,0,1817,1792,5
内蒙古,2020-05-20,0,3,0,1817,1795,5
内蒙古,2020-05-21,0,0,0,1817,1795,5
内蒙古,2020-05-22,0,0,0,1817,1795,5
内蒙古,2020-05-23,0,0,0,1817,1795,5
内蒙古,2020-05-24,10,2,0,1827,1797,5
内蒙古,2020-05-25,5,3,0,1832,1800,5
内蒙古,2020-05-26,0,1,0,1832,1801,5
内蒙古,2020-05-27,0,0,0,1832,1801,5
内蒙古,2020-05-28,0,0,0,1832,1801,5
内蒙古,2020-05-29,0,1,0,1832,1802,5
内蒙古,2020-05-30,0,0,0,1832,1802,5
内蒙古,2020-05-31,3,1,0,1835,1803,5
内蒙古,2020-06-01,0,2,0,1835,1805,5
内蒙古,2020-06-02,0,0,0,1835,1805,5
内蒙古,2020-06-03,0,3,0,1835,1808,5
内蒙古,2020-06-04,0,1,0,1835,1809,5
内蒙古,2020-06-05,0,0,0,1835,1809,5
内蒙古,2020-06-06,0,0,0,1835,1809,5
内蒙古,2020-06-07,0,5,0,1835,1814,5
内蒙古,2020-06-08,0,8,0,1835,1822,5
内蒙古,2020-06-09,2,4,0,1837,1826,5
内蒙古,2020-06-10,0,0,0,1837,1826,5
内蒙古,2020-06-11,0,1,0,1837,1827,5
内蒙古,2020-06-12,0,0,0,1837,1827,5
内蒙古,2020-06-13,0,0,0,1837,1827,5
内蒙古,2020-06-14,0,0,0,1837,1827,5
内蒙古,2020-06-15,1,3,0,1838,1830,5
内蒙古,2020-06-16,0,0,0,1838,1830,5
内蒙古,2020-06-17,0,0,0,1838,1830,5
内蒙古,2020-06-18,0,0,0,1838,1830,5
内蒙古,2020-06-19,0,0,0,1838,1830,5
内蒙古,2020-06-20,0,1,0,1838,1831,5
内蒙古,2020-06-21,0,0,0,1838,1831,5
内蒙古,2020-06-22,0,1,0,1838,1832,5
内蒙古,2020-06-23,0,0,0,1838,1832,5
内蒙古,2020-06-24,0,0,0,1838,1832,5
内蒙古,2020-06-25,0,0,0,1838,1832,5
内蒙古,2020-06-26,0,0,0,1838,1832,5
内蒙古,2020-06-27,0,0,0,1838,1832,5
内蒙古,2020-06-28,0,1,0,1838,1833,5
内蒙古,2020-06-29,0,0,0,1838,1833,5
内蒙古,2020-06-30,0,0,0,1838,1833,5
北京,2020-01-19,2,0,0,487,576,9
北京,2020-01-20,3,0,0,1574,1730,27
北京,2020-01-21,5,0,0,4044,3464,54
北京,2020-01-22,4,0,0,5515,4620,72
北京,2020-01-23,12,0,0,6439,5198,81
北京,2020-01-24,15,1,0,6454,5199,81
北京,2020-01-25,13,1,0,6467,5200,81
北京,2020-01-26,18,0,0,6485,5200,81
北京,2020-01-27,19,9,1,6963,5209,82
北京,2020-01-28,11,2,0,7881,5789,91
北京,2020-01-29,12,0,0,8490,6367,100
北京,2020-01-30,17,1,0,8507,6368,100
北京,2020-01-31,24,0,0,8531,6368,100
北京,2020-02-01,22,4,0,9157,6950,109
北京,2020-02-02,35,3,0,9788,7531,118
北京,2020-02-03,16,11,0,9804,7542,118
北京,2020-02-04,25,1,0,9829,7543,118
北京,2020-02-05,21,6,0,9850,7549,118
北京,2020-02-06,23,2,0,9873,7551,118
北京,2020-02-07,17,1,1,10479,8130,128
北京,2020-02-08,12,3,0,10491,8133,128
北京,2020-02-09,11,7,0,10502,8140,128
北京,2020-02-10,4,4,1,10506,8144,129
北京,2020-02-11,10,8,0,10516,8152,129
北京,2020-02-12,13,12,0,10529,8164,129
北京,2020-02-13,6,11,0,10535,8175,129
北京,2020-02-14,3,18,1,10538,8193,130
北京,2020-02-15,6,8,0,10544,8201,130
北京,2020-02-16,1,9,0,10545,8210,130
北京,2020-02-17,6,8,0,10551,8218,130
北京,2020-02-18,6,23,0,10557,8241,130
北京,2020-02-19,2,8,0,10559,8249,130
北京,2020-02-20,1,16,0,10560,8265,130
北京,2020-02-21,3,9,0,10563,8274,130
北京,2020-02-22,0,11,0,10563,8285,130
北京,2020-02-23,1,9,0,10564,8294,130
北京,2020-02-24,1,17,0,10565,8311,130
北京,2020-02-25,0,20,0,10565,8331,130
北京,2020-02-26,10,13,1,10575,8344,131
北京,2020-02-27,0,9,2,10575,8353,133
北京,2020-02-28,1,14,1,10576,8367,134
北京,2020-02-29,2,5,0,10863,8372,134
北京,2020-03-01,1,6,0,10864,8378,134
北京,2020-03-02,0,6,0,10864,8384,134
北京,2020-03-03,3,6,0,10867,8390,134
北京,2020-03-04,1,3,0,10868,8393,134
北京,2020-03-05,4,1,0,10872,8394,134
北京,2020-03-06,4,5,0,10876,8399,134
北京,2020-03-07,2,5,0,10878,8404,134
北京,2020-03-08,0,7,0,10878,8411,134
北京,2020-03-09,1,5,0,10879,8416,134
北京,2020-03-10,6,6,0,10885,8422,134
北京,2020-03-11,0,8,0,10885,8430,134
北京,2020-03-12,1,8,0,10886,8438,134
北京,2020-03-13,1,7,0,10887,8445,134
北京,2020-03-14,5,4,0,10892,8449,134
北京,2020-03-15,4,5,0,10896,8454,134
北京,2020-03-16,9,10,0,10905,8464,134
北京,2020-03-17,3,5,0,10908,8469,134
北京,2020-03-18,21,6,0,10929,8475,134
北京,2020-03-19,6,5,0,10935,8480,134
北京,2020-03-20,14,8,0,10949,8488,134
北京,2020-03-21,13,6,0,10962,8494,134
北京,2020-03-22,10,2,0,10972,8496,134
北京,2020-03-23,32,1,0,11004,8497,134
北京,2020-03-24,5,0,0,11009,8497,134
北京,2020-03-25,6,2,0,11015,8499,134
北京,2020-03-26,4,3,0,11019,8502,134
北京,2020-03-27,3,3,0,11022,8505,134
北京,2020-03-28,4,2,0,11026,8507,134
北京,2020-03-29,1,1,0,11027,8508,134
北京,2020-03-30,3,4,0,11030,8512,134
北京,2020-03-31,0,2,0,11030,8514,134
北京,2020-04-01,2,6,0,11032,8520,134
北京,2020-04-02,1,10,0,11033,8530,134
